보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21
,,,화재손해(실손보상),"① 화재에 따른 직접손해② 화재에 따른 소방손해(화재진압과정에서 발생하는 손해)③ 화재에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용(화재발생 후 사고현장에서 잔존물의 해체비용, 청소비용, 차에 싣는 비용을 화재손해액의 10%이내에서 실비지급. 단, 화재손해 및 잔존물제거비용의 합계액은 이 담보의 보험가입금액을 한도로 지급)",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,화재손해(실손보상),"① 화재에 따른 직접손해② 화재에 따른 소방손해(화재진압과정에서 발생하는 손해)③ 화재에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용(화재발생 후 사고현장에서 잔존물의 해체비용, 청소비용, 차에 싣는 비용을 화재손해액의 10%이내에서 실비지급. 단, 화재손해 및 잔존물제거비용의 합계액은 이 담보의 보험가입금액을 한도로 지급)",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,"붕괴침강및사태손해(실손보상,건물)","보험기간 중 붕괴, 침강 및 사태로 인해 보험증권에 기재된 보험목적에 손해가 발생한 경우","손해액(단, 보험가입금액 및 보험가액 한도)",,,,,,,,,,file_38.xls,,,,"붕괴침강및사태손해(실손보상,건물)","보험기간 중 붕괴, 침강 및 사태로 인해 보험증권에 기재된 보험목적에 손해가 발생한 경우","손해액(단, 보험가입금액 및 보험가액 한도)",,,,,,,,,,,,,,,,
,,,"화재손해(실손보상,가재)","보험기간 중 화재(폭발, 파열 포함)로 인해 보험증권에 기재된 보험목적에 아래의 손해가 발생한 경우 1. 화재에 따른 직접손해 2. 화재에 따른 소방손해(화재진압과정에서 발생하는 손해) 3. 화재에 따른 피난손해(피난지에서 5일 동안에 보험목적에 생긴 위 제1호 및 제2호의 손해를 포함합니다) ※ 한 번의 사고에 대하여 지급액이 보험가입금액 이상인 때에는 이 특별약관은 소멸","손해액(단, 보험가입금액 및 보험가액 한도)",,,,,,,,,,file_38.xls,,,,"화재손해(실손보상,가재)","보험기간 중 화재(폭발, 파열 포함)로 인해 보험증권에 기재된 보험목적에 아래의 손해가 발생한 경우 1. 화재에 따른 직접손해 2. 화재에 따른 소방손해(화재진압과정에서 발생하는 손해) 3. 화재에 따른 피난손해(피난지에서 5일 동안에 보험목적에 생긴 위 제1호 및 제2호의 손해를 포함합니다) ※ 한 번의 사고에 대하여 지급액이 보험가입금액 이상인 때에는 이 특별약관은 소멸","손해액(단, 보험가입금액 및 보험가액 한도)",,,,,,,,,,,,,,,,
,,,"화재손해(실손보상,건물)",,,,,,,,,,,,file_38.xls,,,,"화재손해(실손보상,건물)",,,,,,,,,,,,,,,,,,
,,,구내폭발·파열손해(실손)보장,"보험목적이 있는 구내에서 생긴 폭발, 파열로 보험목적에 손해가 발생한 경우",,,,,,,,,,,file_38.xls,,,,구내폭발·파열손해(실손)보장,"보험목적이 있는 구내에서 생긴 폭발, 파열로 보험목적에 손해가 발생한 경우",,,,,,,,,,,,,,,,,
,,,"붕괴, 침강 및 사태로 인한 재산손해(실손)보장","붕괴, 침강 및 사태로 인하여 보험목적에 손해가 발생한 경우",,,,,,,,,,,file_38.xls,,,,"붕괴, 침강 및 사태로 인한 재산손해(실손)보장","붕괴, 침강 및 사태로 인하여 보험목적에 손해가 발생한 경우",,,,,,,,,,,,,,,,,
,,,화재손해(보험가입금액 한도내 실손)보장,"보험에 가입한 물건이 화재(벼락포함)로 입은 손해, 소방손해, 피난손해를 보상",가입금액한도(실손보상),,,,,,,,,,file_38.xls,,,,화재손해(보험가입금액 한도내 실손)보장,"보험에 가입한 물건이 화재(벼락포함)로 입은 손해, 소방손해, 피난손해를 보상",가입금액한도(실손보상),,,,,,,,,,,,,,,,
,,,골프활동중배상책임(실손),"보험기간중 피보험자가 골프시설구내에서 골프의 연습,경기 또는 지도중에 타인의 신체 및 재물에 대한 법률상 배상책임을 부담함으로써 입은 손해를 가입금액한도로 보상(본인부담금 2만원)",2000만원,,,,,,,,,,file_47.xls,,,,골프활동중배상책임(실손),"보험기간중 피보험자가 골프시설구내에서 골프의 연습,경기 또는 지도중에 타인의 신체 및 재물에 대한 법률상 배상책임을 부담함으로써 입은 손해를 가입금액한도로 보상(본인부담금 2만원)",2000만원,,,,,,,,,,,,,,,,
,,,"알바트로스비용(깔때기홀제외)(정규홀,실손)","피보험자가 보험기간 중에 골프장에서 골프경기 중 알바트로스을 행한 경우 1회에 한하여 알바트로스를 행한 날로부터 1개월(단, 축하라운드의 경우 3개월) 이내 소요된 금액(약관에서 정한 항목 내)을 보험 가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",100만원,,,,,,,,,,file_47.xls,,,,"알바트로스비용(깔때기홀제외)(정규홀,실손)","피보험자가 보험기간 중에 골프장에서 골프경기 중 알바트로스을 행한 경우 1회에 한하여 알바트로스를 행한 날로부터 1개월(단, 축하라운드의 경우 3개월) 이내 소요된 금액(약관에서 정한 항목 내)을 보험 가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",100만원,,,,,,,,,,,,,,,,
,,,"홀인원비용(깔때기홀제외)(정규홀,실손)(연간1회한)","피보험자가 보험기간 중에 골프장에서 골프경기 중 홀인원을 행한 경우 연간 1회에 한하여 홀인원을 행한 날부터 1개월(단, 축하라운드의 경우 3개월) 이내에 소요된 금액(약관에서 정한 항목 내)을 보험가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",,,,,,,,,,,file_47.xls,,,,"홀인원비용(깔때기홀제외)(정규홀,실손)(연간1회한)","피보험자가 보험기간 중에 골프장에서 골프경기 중 홀인원을 행한 경우 연간 1회에 한하여 홀인원을 행한 날부터 1개월(단, 축하라운드의 경우 3개월) 이내에 소요된 금액(약관에서 정한 항목 내)을 보험가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",,,,,,,,,,,,,,,,,
,,,주택(화재)건물재조달차액지원(실손),특약보험기간 중 보험목적인 건물이 화재(폭발포함)로 입은 손해 중 재조달차액(보험가액과 재조달가액에 따라 계산한 손해액의 차액)을 보상,보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_47.xls,,,,주택(화재)건물재조달차액지원(실손),특약보험기간 중 보험목적인 건물이 화재(폭발포함)로 입은 손해 중 재조달차액(보험가액과 재조달가액에 따라 계산한 손해액의 차액)을 보상,보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,"주택임시거주비Ⅱ(화재,붕괴,침강,사태)(1일이상)(실손)","특약보험기간 중 보험목적에 화재,붕괴,침강 및 사태가 발생하여 보험목적 내에 거주할 수 없게 된 경우 원상복구를 위한 기간 중 발생한 임시거주비를 보상",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,file_47.xls,,,,"주택임시거주비Ⅱ(화재,붕괴,침강,사태)(1일이상)(실손)","특약보험기간 중 보험목적에 화재,붕괴,침강 및 사태가 발생하여 보험목적 내에 거주할 수 없게 된 경우 원상복구를 위한 기간 중 발생한 임시거주비를 보상",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,,,,,,,
,,,화재(폭발포함)배상책임(실손),특약보험기간 중 목적물에서 발생한 화재 또는 폭발사고로 인하여 상해를 입히거나  타인의 재물을 망그러뜨려 법률상 배상책임을 부담함으로써 입은 손해,"보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,file_47.xls,,,,화재(폭발포함)배상책임(실손),특약보험기간 중 목적물에서 발생한 화재 또는 폭발사고로 인하여 상해를 입히거나  타인의 재물을 망그러뜨려 법률상 배상책임을 부담함으로써 입은 손해,"보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,,,,,,,
,,,화재손해(실손),"① 화재, 폭발 및 파열에 따른 손해② 화재, 폭발 및 파열에 따른 소방손해③ 화재, 폭발 및 파열에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_47.xls,,,,화재손해(실손),"① 화재, 폭발 및 파열에 따른 손해② 화재, 폭발 및 파열에 따른 소방손해③ 화재, 폭발 및 파열에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,"임시거주비(화재/붕괴/침강/사태,실손,1일이상,주택)","보험목적에 화재(벼락을 포함)로 인한 직접손해, 소방손해, 피난손해와 붕괴, 침강 및 사태로 인한 손해가 발생함으로써 보험목적 내에 거주할 수 없게 된 경우에 보험목적 원상복구를 위한 복구기간 내 임시거주기간 동안 임시거주비 보상※ '복구기간 내 임시거주기간'은 추정복구기간(보험목적을 손해발생 직전 상태로 복구하기 위해 통상적으로 필요하다고 인정되는 기간)과 약정복구기간(보험목적이 손해를 입었던 때로부터 90일) 내 임시거주기간 중 짧은 기간으로 합니다.※ 임시거주비는 피보험자가 본인 및 본인과 생계를 같이하고 보험목적의 주민등록상 동거중인 가족을 위해 복구기간 내 임시거주기간동안 숙박시설 또는 음식점에서 실제로 지출한 숙박비 및 식대를 말합니다.",1사고마다 손해발생 후 1일째부터 1일당 10만원을 한도 실손보상(사고발생일부터 90일 한도),,,,,,,,,,file_50.xls,,,,"임시거주비(화재/붕괴/침강/사태,실손,1일이상,주택)","보험목적에 화재(벼락을 포함)로 인한 직접손해, 소방손해, 피난손해와 붕괴, 침강 및 사태로 인한 손해가 발생함으로써 보험목적 내에 거주할 수 없게 된 경우에 보험목적 원상복구를 위한 복구기간 내 임시거주기간 동안 임시거주비 보상※ '복구기간 내 임시거주기간'은 추정복구기간(보험목적을 손해발생 직전 상태로 복구하기 위해 통상적으로 필요하다고 인정되는 기간)과 약정복구기간(보험목적이 손해를 입었던 때로부터 90일) 내 임시거주기간 중 짧은 기간으로 합니다.※ 임시거주비는 피보험자가 본인 및 본인과 생계를 같이하고 보험목적의 주민등록상 동거중인 가족을 위해 복구기간 내 임시거주기간동안 숙박시설 또는 음식점에서 실제로 지출한 숙박비 및 식대를 말합니다.",1사고마다 손해발생 후 1일째부터 1일당 10만원을 한도 실손보상(사고발생일부터 90일 한도),,,,,,,,,,,,,,,,
